term_original,term_norm,best_domain,top_score,second_score,margin,cluster_id,cluster_confidence,cluster_label
Tetrahydrocannabinol,tetrahydrocannabinol,treatment_alternative_complementary,0.54087967,0.44206464,0.098815024,-1,0.0,noise
CBD +Sunny Mood,cbd +sunny mood,treatment_alternative_complementary,0.49791396,0.40344402,0.094469935,-1,0.0,noise
CBD Terpines,cbd terpines,treatment_alternative_complementary,0.57224333,0.4779457,0.09429765,-1,0.0,noise
CDB oil,cdb oil,treatment_alternative_complementary,0.45079994,0.3573882,0.09341174,-1,0.0,noise
smoked,smoked,treatment_alternative_complementary,0.6085901,0.52289057,0.08569956,-1,0.0,noise
Thc Vape,thc vape,treatment_alternative_complementary,0.46753988,0.38402426,0.083515614,-1,0.0,noise
Cannabis sativa seed oil,cannabis sativa seed oil,treatment_alternative_complementary,0.5360238,0.45332134,0.08270246,-1,0.0,noise
cigarettes,cigarettes,treatment_alternative_complementary,0.5270909,0.4449498,0.0821411,-1,0.0,noise
CBD Sleep,cbd sleep,treatment_alternative_complementary,0.46341133,0.38194954,0.08146179,-1,0.0,noise
hemp capsules,hemp capsules,treatment_alternative_complementary,0.49656987,0.4166646,0.07990527,-1,0.0,noise
Thc oil,thc oil,treatment_alternative_complementary,0.5751972,0.49552333,0.07967389,-1,0.0,noise
Cigarette,cigarette,treatment_alternative_complementary,0.533828,0.4573797,0.07644832,-1,0.0,noise
incense,incense,treatment_alternative_complementary,0.6197989,0.5469043,0.07289457,-1,0.0,noise
CBD 25mg capsules ,cbd 25mg capsules,treatment_alternative_complementary,0.48864686,0.42413604,0.06451082,-1,0.0,noise
chinese medicine,chinese medicine,treatment_alternative_complementary,0.5477025,0.49303463,0.05466786,-1,0.0,noise
Traditional chinese medicine,traditional chinese medicine,treatment_alternative_complementary,0.49143177,0.43774462,0.053687155,-1,0.0,noise
Beer,beer,treatment_alternative_complementary,0.47781122,0.4253554,0.052455813,-1,0.0,noise
Breath Deep Tea,breath deep tea,treatment_alternative_complementary,0.47265857,0.4220118,0.050646782,-1,0.0,noise
Seroquel,seroquel,treatment_antidepressant_anxiolytic,0.68222225,0.55941796,0.122804284,-1,0.0,noise
extra seroquel,extra seroquel,treatment_antidepressant_anxiolytic,0.62796044,0.5156644,0.112296045,-1,0.0,noise
Seroquel 125mg,seroquel 125mg,treatment_antidepressant_anxiolytic,0.54461426,0.43236446,0.11224979,-1,0.0,noise
cytoquel,cytoquel,treatment_antidepressant_anxiolytic,0.6303716,0.51880765,0.11156392,-1,0.0,noise
Antidepressants,antidepressants,treatment_antidepressant_anxiolytic,0.6323237,0.52140015,0.11092353,-1,0.0,noise
Seroquel xr,seroquel xr,treatment_antidepressant_anxiolytic,0.62205625,0.51382226,0.10823399,-1,0.0,noise
Depakote,depakote,treatment_antidepressant_anxiolytic,0.58576447,0.4785139,0.10725057,-1,0.0,noise
Anti depressants,anti depressants,treatment_antidepressant_anxiolytic,0.5844239,0.4817698,0.1026541,-1,0.0,noise
Paxil 40mg,paxil 40mg,treatment_antidepressant_anxiolytic,0.59236836,0.4909641,0.10140425,-1,0.0,noise
Diazepam,diazepam,treatment_antidepressant_anxiolytic,0.7429259,0.64174235,0.10118353,-1,0.0,noise
Paxil A.M.,paxil a.m,treatment_antidepressant_anxiolytic,0.5515299,0.45357203,0.09795785,-1,0.0,noise
Paxil,paxil,treatment_antidepressant_anxiolytic,0.63046515,0.5331301,0.09733504,-1,0.0,noise
Anti-depressants,anti-depressants,treatment_antidepressant_anxiolytic,0.56548893,0.47215647,0.09333247,-1,0.0,noise
Antidepressant,antidepressant,treatment_antidepressant_anxiolytic,0.65557003,0.5646135,0.09095651,-1,0.0,noise
anti depressant,anti depressant,treatment_antidepressant_anxiolytic,0.6205113,0.53125715,0.08925414,-1,0.0,noise
Ritalin LA 20mg,ritalin la 20mg,treatment_antidepressant_anxiolytic,0.5418625,0.4527327,0.089129776,-1,0.0,noise
SSRI,ssri,treatment_antidepressant_anxiolytic,0.61653125,0.52852035,0.08801091,-1,0.0,noise
diazipam,diazipam,treatment_antidepressant_anxiolytic,0.7374449,0.6497294,0.08771551,-1,0.0,noise
Paxil CR,paxil cr,treatment_antidepressant_anxiolytic,0.5565835,0.47075552,0.085828006,-1,0.0,noise
Diazepam vaginal,diazepam vaginal,treatment_antidepressant_anxiolytic,0.50129,0.41555145,0.08573857,-1,0.0,noise
anaprazolam,anaprazolam,treatment_antidepressant_anxiolytic,0.6944591,0.6099278,0.08453131,-1,0.0,noise
Valium 10mg prn ,valium 10mg prn,treatment_antidepressant_anxiolytic,0.49218532,0.4079935,0.08419183,-1,0.0,noise
Serotonin,serotonin,treatment_antidepressant_anxiolytic,0.57008827,0.4861886,0.08389968,-1,0.0,noise
Xanax SB,xanax sb,treatment_antidepressant_anxiolytic,0.64294803,0.5600079,0.0829401,-1,0.0,noise
cymbalta / duloxetine,cymbalta / duloxetine,treatment_antidepressant_anxiolytic,0.64521486,0.56299794,0.08221692,-1,0.0,noise
Ritalin LA 30mg,ritalin la 30mg,treatment_antidepressant_anxiolytic,0.56212765,0.48044872,0.08167893,-1,0.0,noise
Lithium Orotate,lithium orotate,treatment_antidepressant_anxiolytic,0.5082707,0.4296023,0.078668386,-1,0.0,noise
Quetiapine RP,quetiapine rp,treatment_antidepressant_anxiolytic,0.5761175,0.49853078,0.07758674,-1,0.0,noise
Paxam,paxam,treatment_antidepressant_anxiolytic,0.5192371,0.44354105,0.07569605,-1,0.0,noise
Prozac (Morning),prozac (morning,treatment_antidepressant_anxiolytic,0.6571239,0.58143806,0.07568586,-1,0.0,noise
Alprazolam,alprazolam,treatment_antidepressant_anxiolytic,0.6847143,0.60927093,0.07544339,-1,0.0,noise
Xanax,xanax,treatment_antidepressant_anxiolytic,0.69300497,0.618415,0.07458997,-1,0.0,noise
clonozepam,clonozepam,treatment_antidepressant_anxiolytic,0.56073344,0.486255,0.07447845,-1,0.0,noise
