term_original,term_norm,best_domain,top_score,second_score,margin,cluster_id,cluster_confidence,cluster_label
oxycodone ER,oxycodone er,treatment_pain_antiinflammatory,0.62164074,0.4884817,0.13315904,-1,0.0,noise
Tramadol ER,tramadol er,treatment_pain_antiinflammatory,0.6172424,0.4854868,0.13175559,-1,0.0,noise
Tramadol,tramadol,treatment_pain_antiinflammatory,0.6712194,0.539504,0.13171542,-1,0.0,noise
Pain Medicine,pain medicine,treatment_pain_antiinflammatory,0.7157943,0.5843198,0.13147455,-1,0.0,noise
Pain Pill,pain pill,treatment_pain_antiinflammatory,0.6877525,0.55645114,0.13130134,-1,0.0,noise
Vicodin,vicodin,treatment_pain_antiinflammatory,0.7322471,0.6013378,0.13090932,-1,0.0,noise
ketoprofen cream,ketoprofen cream,treatment_pain_antiinflammatory,0.6287306,0.49840796,0.13032264,-1,0.0,noise
Tylenol,tylenol,treatment_pain_antiinflammatory,0.68787265,0.5584887,0.12938392,-1,0.0,noise
Oxycodone,oxycodone,treatment_pain_antiinflammatory,0.6805535,0.55256706,0.12798643,-1,0.0,noise
Pain meds,pain meds,treatment_pain_antiinflammatory,0.64774597,0.5208968,0.12684917,-1,0.0,noise
oxycodone 15mg,oxycodone 15mg,treatment_pain_antiinflammatory,0.5938609,0.46724647,0.12661445,-1,0.0,noise
ibuprofen 200 mg,ibuprofen 200 mg,treatment_pain_antiinflammatory,0.5512578,0.42643645,0.124821335,-1,0.0,noise
Oxycodone-Acetaminophen,oxycodone-acetaminophen,treatment_pain_antiinflammatory,0.64852506,0.52518487,0.12334019,-1,0.0,noise
Advils Caplets 800 mgs each time.,advils caplets 800 mgs each time,treatment_pain_antiinflammatory,0.45292854,0.33015388,0.12277466,-1,0.0,noise
tramadol 50 mg,tramadol 50 mg,treatment_pain_antiinflammatory,0.5754812,0.4532665,0.122214675,-1,0.0,noise
Pain Medication,pain medication,treatment_pain_antiinflammatory,0.7266964,0.6050013,0.1216951,-1,0.0,noise
Pain Cream,pain cream,treatment_pain_antiinflammatory,0.62651193,0.5048758,0.12163615,-1,0.0,noise
Analgesia,analgesia,treatment_pain_antiinflammatory,0.5779226,0.4568516,0.12107098,-1,0.0,noise
prescription pain medicine,prescription pain medicine,treatment_pain_antiinflammatory,0.6556582,0.5347862,0.12087196,-1,0.0,noise
oral morphine,oral morphine,treatment_pain_antiinflammatory,0.6412517,0.5211345,0.12011719,-1,0.0,noise
Tylenol with codeine,tylenol with codeine,treatment_pain_antiinflammatory,0.50570387,0.38593334,0.11977053,-1,0.0,noise
ibuprofen lysine,ibuprofen lysine,treatment_pain_antiinflammatory,0.5843367,0.46545702,0.118879676,-1,0.0,noise
Tylenol arthritis,tylenol arthritis,treatment_pain_antiinflammatory,0.48268276,0.36428595,0.11839682,-1,0.0,noise
apo-tramadol,apo-tramadol,treatment_pain_antiinflammatory,0.60194504,0.48364586,0.118299186,-1,0.0,noise
Morphine ER,morphine er,treatment_pain_antiinflammatory,0.6284629,0.51018095,0.11828196,-1,0.0,noise
oxycodone lp,oxycodone lp,treatment_pain_antiinflammatory,0.58622926,0.46833533,0.117893934,-1,0.0,noise
Ibuprofen 800mg,ibuprofen 800mg,treatment_pain_antiinflammatory,0.5402629,0.42268106,0.117581815,-1,0.0,noise
Tylenol pm,tylenol pm,treatment_pain_antiinflammatory,0.631719,0.51439524,0.117323756,-1,0.0,noise
tylenol extra strength ,tylenol extra strength,treatment_pain_antiinflammatory,0.46373352,0.34703636,0.11669716,-1,0.0,noise
tylenol 600,tylenol 600,treatment_pain_antiinflammatory,0.64223135,0.5259036,0.11632776,-1,0.0,noise
Ibuprofen 800 mg,ibuprofen 800 mg,treatment_pain_antiinflammatory,0.52363014,0.40825623,0.11537391,-1,0.0,noise
tramadol 150mg,tramadol 150mg,treatment_pain_antiinflammatory,0.57129836,0.4564715,0.11482686,-1,0.0,noise
Fentanyl,fentanyl,treatment_pain_antiinflammatory,0.6799278,0.56519866,0.114729166,-1,0.0,noise
Ketoprofen,ketoprofen,treatment_pain_antiinflammatory,0.6979027,0.5849142,0.11298847,-1,0.0,noise
Tramadol SR,tramadol sr,treatment_pain_antiinflammatory,0.5722449,0.4600993,0.11214557,-1,0.0,noise
Tramadol HCL 50 mg,tramadol hcl 50 mg,treatment_pain_antiinflammatory,0.50845194,0.39645463,0.11199731,-1,0.0,noise
Morphine bomb,morphine bomb,treatment_pain_antiinflammatory,0.6146208,0.5027553,0.11186552,-1,0.0,noise
Tylenol 2,tylenol 2,treatment_pain_antiinflammatory,0.67010784,0.5585477,0.111560166,-1,0.0,noise
Extra strength tylenol,extra strength tylenol,treatment_pain_antiinflammatory,0.4854637,0.374385,0.11107871,-1,0.0,noise
Tramado,tramado,treatment_pain_antiinflammatory,0.56227446,0.45156115,0.1107133,-1,0.0,noise
opioid,opioid,treatment_pain_antiinflammatory,0.66756487,0.5569488,0.11061609,-1,0.0,noise
morphine syrup,morphine syrup,treatment_pain_antiinflammatory,0.63962257,0.529835,0.10978758,-1,0.0,noise
tramadol LP,tramadol lp,treatment_pain_antiinflammatory,0.5467562,0.4370063,0.10974991,-1,0.0,noise
tylenol 4,tylenol 4,treatment_pain_antiinflammatory,0.6534871,0.54505956,0.108427525,-1,0.0,noise
Naprogesic,naprogesic,treatment_pain_antiinflammatory,0.670315,0.56190383,0.10841119,-1,0.0,noise
Tylenol complete - day,tylenol complete - day,treatment_pain_antiinflammatory,0.48286593,0.37480336,0.108062565,-1,0.0,noise
extra ketotifen,extra ketotifen,treatment_pain_antiinflammatory,0.5347957,0.4278999,0.106895804,-1,0.0,noise
NSAIDS,nsaids,treatment_pain_antiinflammatory,0.62628126,0.5193864,0.10689485,-1,0.0,noise
Tylenol 1,tylenol 1,treatment_pain_antiinflammatory,0.65807796,0.5514064,0.10667157,-1,0.0,noise
Acetaminophen (Tylenol),acetaminophen (tylenol,treatment_pain_antiinflammatory,0.6506325,0.5439917,0.106640816,-1,0.0,noise
Fentanyl Patch,fentanyl patch,treatment_pain_antiinflammatory,0.49596155,0.3898437,0.106117845,-1,0.0,noise
Neurofen,neurofen,treatment_pain_antiinflammatory,0.6606756,0.55468416,0.10599142,-1,0.0,noise
morphine patches,morphine patches,treatment_pain_antiinflammatory,0.52311385,0.4171472,0.10596666,-1,0.0,noise
Low dose pain meds,low dose pain meds,treatment_pain_antiinflammatory,0.5207386,0.4152847,0.10545391,-1,0.0,noise
c-ketotifen,c-ketotifen,treatment_pain_antiinflammatory,0.60439974,0.49982834,0.1045714,-1,0.0,noise
 cuprofen,cuprofen,treatment_pain_antiinflammatory,0.6024134,0.4979092,0.10450423,-1,0.0,noise
tramadol 200mg,tramadol 200mg,treatment_pain_antiinflammatory,0.56039715,0.45590386,0.10449329,-1,0.0,noise
Hydrocodone Acetaminophen,hydrocodone acetaminophen,treatment_pain_antiinflammatory,0.6266744,0.52254236,0.104132056,-1,0.0,noise
Tylenol 3,tylenol 3,treatment_pain_antiinflammatory,0.6761613,0.57249117,0.10367012,-1,0.0,noise
panadol with codeine,panadol with codeine,treatment_pain_antiinflammatory,0.53816295,0.43469208,0.10347086,-1,0.0,noise
pain cream compounded,pain cream compounded,treatment_pain_antiinflammatory,0.6247704,0.5222019,0.10256851,-1,0.0,noise
Ketotifen,ketotifen,treatment_pain_antiinflammatory,0.6608864,0.55844367,0.10244274,-1,0.0,noise
Tramadol Soir,tramadol soir,treatment_pain_antiinflammatory,0.5909015,0.4885014,0.102400094,-1,0.0,noise
Acetaminofen,acetaminofen,treatment_pain_antiinflammatory,0.74497324,0.642833,0.10214025,-1,0.0,noise
morphine 30mg,morphine 30mg,treatment_pain_antiinflammatory,0.6163762,0.5142771,0.10209912,-1,0.0,noise
Oxycondon,oxycondon,treatment_pain_antiinflammatory,0.67290217,0.5708219,0.102080286,-1,0.0,noise
Vicodin - 1/4 - 1/2,vicodin - 1/4 - 1/2,treatment_pain_antiinflammatory,0.5977713,0.4957226,0.102048695,-1,0.0,noise
Topical pain relief,topical pain relief,treatment_pain_antiinflammatory,0.5176248,0.41776267,0.09986213,-1,0.0,noise
Panadol-Codine,panadol-codine,treatment_pain_antiinflammatory,0.62947553,0.5306885,0.09878701,-1,0.0,noise
Tylenol #3,tylenol #3,treatment_pain_antiinflammatory,0.60079145,0.5024218,0.09836966,-1,0.0,noise
Firbo Pain Drops (NR),firbo pain drops (nr,treatment_pain_antiinflammatory,0.47221214,0.37476084,0.0974513,-1,0.0,noise
Daytime tylenol,daytime tylenol,treatment_pain_antiinflammatory,0.5818639,0.48478934,0.09707454,-1,0.0,noise
Aleve,aleve,treatment_pain_antiinflammatory,0.56979275,0.4727295,0.09706324,-1,0.0,noise
morphine 15mg,morphine 15mg,treatment_pain_antiinflammatory,0.604672,0.5084299,0.09624213,-1,0.0,noise
hydrocodone-acetaminophen,hydrocodone-acetaminophen,treatment_pain_antiinflammatory,0.63811266,0.54188836,0.09622431,-1,0.0,noise
Tylenol 500 mg,tylenol 500 mg,treatment_pain_antiinflammatory,0.6189844,0.52305865,0.09592575,-1,0.0,noise
balcofen ,balcofen,treatment_pain_antiinflammatory,0.6564831,0.56147385,0.09500927,-1,0.0,noise
Norgesic,norgesic,treatment_pain_antiinflammatory,0.6176075,0.5231436,0.094463885,-1,0.0,noise
Pain Killer PM,pain killer pm,treatment_pain_antiinflammatory,0.57145035,0.47743404,0.09401631,-1,0.0,noise
Oxycodone Shortec,oxycodone shortec,treatment_pain_antiinflammatory,0.51318383,0.42023945,0.09294438,-1,0.0,noise
opiate,opiate,treatment_pain_antiinflammatory,0.6717094,0.5803479,0.09136152,-1,0.0,noise
neurofen plus,neurofen plus,treatment_pain_antiinflammatory,0.64012843,0.5497481,0.09038031,-1,0.0,noise
Tramadol (vanlig),tramadol (vanlig,treatment_pain_antiinflammatory,0.6002258,0.51006985,0.09015596,-1,0.0,noise
pain gel,pain gel,treatment_pain_antiinflammatory,0.58211815,0.4925214,0.08959675,-1,0.0,noise
Fenofexadine,fenofexadine,treatment_pain_antiinflammatory,0.65456307,0.5653523,0.08921075,-1,0.0,noise
Oxycod/Acetaminophen 10/325,oxycod/acetaminophen 10/325,treatment_pain_antiinflammatory,0.6130275,0.5250133,0.088014185,-1,0.0,noise
Excedrin,excedrin,treatment_pain_antiinflammatory,0.6718643,0.58400553,0.08785874,-1,0.0,noise
Tramadol FR,tramadol fr,treatment_pain_antiinflammatory,0.5951803,0.50757945,0.08760083,-1,0.0,noise
Paracetamol / Acetaminophen,paracetamol / acetaminophen,treatment_pain_antiinflammatory,0.6044004,0.5174634,0.08693701,-1,0.0,noise
Excedrin (Migraine),excedrin (migraine,treatment_pain_antiinflammatory,0.5585948,0.4716716,0.08692321,-1,0.0,noise
Aspirin,aspirin,treatment_pain_antiinflammatory,0.6829221,0.5965967,0.08632541,-1,0.0,noise
Codeine-Panadol,codeine-panadol,treatment_pain_antiinflammatory,0.6532863,0.5670645,0.086221755,-1,0.0,noise
morphine bomb. essential oils,morphine bomb. essential oils,treatment_pain_antiinflammatory,0.5865592,0.5005796,0.08597958,-1,0.0,noise
Fenofibrate,fenofibrate,treatment_pain_antiinflammatory,0.5531799,0.46801436,0.08516556,-1,0.0,noise
Narcotics,narcotics,treatment_pain_antiinflammatory,0.6474411,0.5649825,0.082458615,-1,0.0,noise
Oxycodone liquid ,oxycodone liquid,treatment_pain_antiinflammatory,0.5551327,0.4740082,0.081124485,-1,0.0,noise
Ibuprofein ,ibuprofein,treatment_pain_antiinflammatory,0.53006595,0.4498276,0.08023834,-1,0.0,noise
"Excedrin Migraine, Extra Strength (250mg Tylenol; 250mg Aspirin)","excedrin migraine, extra strength (250mg tylenol; 250mg aspirin",treatment_pain_antiinflammatory,0.5081787,0.42913252,0.07904619,-1,0.0,noise
Norspan (bandaid painkiller),norspan (bandaid painkiller,treatment_pain_antiinflammatory,0.5955552,0.5168472,0.07870799,-1,0.0,noise
Paracetamol and codeine,paracetamol and codeine,treatment_pain_antiinflammatory,0.49901932,0.42091846,0.07810086,-1,0.0,noise
Oxycodone Liquid 100ml,oxycodone liquid 100ml,treatment_pain_antiinflammatory,0.5243758,0.44644833,0.07792747,-1,0.0,noise
sudafed 30 mg,sudafed 30 mg,treatment_pain_antiinflammatory,0.55321336,0.4755113,0.077702045,-1,0.0,noise
paracetamol + codeine,paracetamol + codeine,treatment_pain_antiinflammatory,0.56943965,0.4919178,0.07752186,-1,0.0,noise
Sudafed,sudafed,treatment_pain_antiinflammatory,0.5063427,0.42904782,0.077294886,-1,0.0,noise
Aleve PM,aleve pm,treatment_pain_antiinflammatory,0.4718793,0.39517927,0.07670003,-1,0.0,noise
Tylenol and Ultram,tylenol and ultram,treatment_pain_antiinflammatory,0.5002874,0.42358923,0.076698184,-1,0.0,noise
paracetamol/codeine,paracetamol/codeine,treatment_pain_antiinflammatory,0.61409694,0.5374874,0.07660955,-1,0.0,noise
Hydrocodone,hydrocodone,treatment_pain_antiinflammatory,0.61759365,0.54105175,0.0765419,-1,0.0,noise
Panadol,panadol,treatment_pain_antiinflammatory,0.67770183,0.602738,0.07496381,-1,0.0,noise
combogesic,combogesic,treatment_pain_antiinflammatory,0.6760669,0.6013375,0.07472938,-1,0.0,noise
Paracetamol with codeine,paracetamol with codeine,treatment_pain_antiinflammatory,0.5204446,0.44644177,0.0740028,-1,0.0,noise
amatriptyline baclofen cream,amatriptyline baclofen cream,treatment_pain_antiinflammatory,0.5080154,0.43402606,0.07398933,-1,0.0,noise
Morphine IR,morphine ir,treatment_pain_antiinflammatory,0.6482628,0.57575625,0.07250655,-1,0.0,noise
Ibuprofen 400mg PRN,ibuprofen 400mg prn,treatment_pain_antiinflammatory,0.48032087,0.4080875,0.07223338,-1,0.0,noise
Dextroamphetamine Sulfate ER Sprinke 15 mg,dextroamphetamine sulfate er sprinke 15 mg,treatment_pain_antiinflammatory,0.53187156,0.4597048,0.07216677,-1,0.0,noise
paracetamol plus codeine,paracetamol plus codeine,treatment_pain_antiinflammatory,0.596718,0.52483904,0.07187897,-1,0.0,noise
Paracetamol/asprin/caffine,paracetamol/asprin/caffine,treatment_pain_antiinflammatory,0.5752787,0.503522,0.07175672,-1,0.0,noise
Morphine sulfate,morphine sulfate,treatment_pain_antiinflammatory,0.6083377,0.5367396,0.07159811,-1,0.0,noise
panadol extra,panadol extra,treatment_pain_antiinflammatory,0.54625255,0.475094,0.07115856,-1,0.0,noise
paracetamol 1000mg,paracetamol 1000mg,treatment_pain_antiinflammatory,0.63850015,0.5688399,0.06966025,-1,0.0,noise
Tylenol 325 mgs X 2,tylenol 325 mgs x 2,treatment_pain_antiinflammatory,0.5469639,0.47780842,0.069155455,-1,0.0,noise
Panadol Normal,panadol normal,treatment_pain_antiinflammatory,0.47863013,0.41010314,0.06852698,-1,0.0,noise
pain patch,pain patch,treatment_pain_antiinflammatory,0.52455807,0.45704198,0.06751609,-1,0.0,noise
Excedrin pm,excedrin pm,treatment_pain_antiinflammatory,0.6032146,0.53605354,0.06716108,-1,0.0,noise
morphine mst ,morphine mst,treatment_pain_antiinflammatory,0.5142235,0.447177,0.06704652,-1,0.0,noise
low dose chewable aspirin,low dose chewable aspirin,treatment_pain_antiinflammatory,0.51974726,0.45349985,0.0662474,-1,0.0,noise
aspirin low dose,aspirin low dose,treatment_pain_antiinflammatory,0.5066531,0.44057643,0.06607664,-1,0.0,noise
Tramadol Matin,tramadol matin,treatment_pain_antiinflammatory,0.55681586,0.49134803,0.065467834,-1,0.0,noise
Flurbiprofen,flurbiprofen,treatment_pain_antiinflammatory,0.61638695,0.55123615,0.0651508,-1,0.0,noise
Pain management,pain management,treatment_pain_antiinflammatory,0.55353934,0.48902434,0.064514995,-1,0.0,noise
Afrin,afrin,treatment_pain_antiinflammatory,0.5410302,0.47668383,0.0643464,-1,0.0,noise
IBS meds,ibs meds,treatment_pain_antiinflammatory,0.48249337,0.41833425,0.064159125,-1,0.0,noise
Aspirin 75mg,aspirin 75mg,treatment_pain_antiinflammatory,0.5941285,0.5302922,0.06383628,-1,0.0,noise
low dose aspirin,low dose aspirin,treatment_pain_antiinflammatory,0.50746065,0.44441384,0.06304681,-1,0.0,noise
acetaminophen caffeine,acetaminophen caffeine,treatment_pain_antiinflammatory,0.54239696,0.4797876,0.062609375,-1,0.0,noise
Ketotifeno,ketotifeno,treatment_pain_antiinflammatory,0.6534403,0.59094083,0.062499464,-1,0.0,noise
"Medication tx  Pred, Vic, Robaxin","medication tx pred, vic, robaxin",treatment_pain_antiinflammatory,0.5774957,0.5155317,0.061963975,-1,0.0,noise
Tramadol retard,tramadol retard,treatment_pain_antiinflammatory,0.51441514,0.4534438,0.06097135,-1,0.0,noise
Durogesic,durogesic,treatment_pain_antiinflammatory,0.5915358,0.53098243,0.060553372,-1,0.0,noise
Motrin 200mg,motrin 200mg,treatment_pain_antiinflammatory,0.54571193,0.48636973,0.059342206,-1,0.0,noise
Paracetamol,paracetamol,treatment_pain_antiinflammatory,0.68525577,0.62665397,0.058601797,-1,0.0,noise
otc creams ,otc creams,treatment_pain_antiinflammatory,0.5112016,0.45264274,0.05855888,-1,0.0,noise
fenytoin,fenytoin,treatment_pain_antiinflammatory,0.6097188,0.5512762,0.058442593,-1,0.0,noise
Tylenol sinus,tylenol sinus,treatment_pain_antiinflammatory,0.5162233,0.45827752,0.057945788,-1,0.0,noise
panadol and codiene,panadol and codiene,treatment_pain_antiinflammatory,0.5355131,0.47763896,0.057874143,-1,0.0,noise
Buprenorphine,buprenorphine,treatment_pain_antiinflammatory,0.6516049,0.594167,0.057437897,-1,0.0,noise
myadol,myadol,treatment_pain_antiinflammatory,0.6494672,0.59252924,0.056937933,-1,0.0,noise
tramodol,tramodol,treatment_pain_antiinflammatory,0.62453747,0.567757,0.056780457,-1,0.0,noise
nsaid,nsaid,treatment_pain_antiinflammatory,0.5594532,0.50343156,0.05602163,-1,0.0,noise
Amitriptyline-baclofen cream,amitriptyline-baclofen cream,treatment_pain_antiinflammatory,0.5402837,0.48454148,0.055742204,-1,0.0,noise
OxyContin 30mg,oxycontin 30mg,treatment_pain_antiinflammatory,0.52091795,0.46561128,0.055306673,-1,0.0,noise
Baby aspirin,baby aspirin,treatment_pain_antiinflammatory,0.60420066,0.54890734,0.05529332,-1,0.0,noise
OxyContin 10mg,oxycontin 10mg,treatment_pain_antiinflammatory,0.5383381,0.48305538,0.05528274,-1,0.0,noise
painkiller vaporizer,painkiller vaporizer,treatment_pain_antiinflammatory,0.45171285,0.39661098,0.05510187,-1,0.0,noise
Oxytocin,oxytocin,treatment_pain_antiinflammatory,0.55064565,0.4961465,0.05449915,-1,0.0,noise
Vicks Sinex,vicks sinex,treatment_pain_antiinflammatory,0.46015525,0.4059261,0.05422914,-1,0.0,noise
OxyContin 15mg,oxycontin 15mg,treatment_pain_antiinflammatory,0.5002297,0.44641608,0.053813636,-1,0.0,noise
vicks,vicks,treatment_pain_antiinflammatory,0.45040828,0.39659977,0.05380851,-1,0.0,noise
OxyContin 20mg,oxycontin 20mg,treatment_pain_antiinflammatory,0.51149035,0.45821428,0.053276062,-1,0.0,noise
enteric aspirin,enteric aspirin,treatment_pain_antiinflammatory,0.5471065,0.49437326,0.052733243,-1,0.0,noise
exedrin,exedrin,treatment_pain_antiinflammatory,0.6169624,0.56437653,0.05258584,-1,0.0,noise
Oxycontin,oxycontin,treatment_pain_antiinflammatory,0.5505508,0.4980142,0.052536607,-1,0.0,noise
Naltrexone,naltrexone,treatment_pain_antiinflammatory,0.68195933,0.6294917,0.052467644,-1,0.0,noise
opium tincture,opium tincture,treatment_pain_antiinflammatory,0.5386647,0.48666686,0.05199784,-1,0.0,noise
pain salve,pain salve,treatment_pain_antiinflammatory,0.54185104,0.48999915,0.0518519,-1,0.0,noise
cocodamol,cocodamol,treatment_pain_antiinflammatory,0.5742593,0.52259254,0.051666737,-1,0.0,noise
dexafree,dexafree,treatment_pain_antiinflammatory,0.49802697,0.4465105,0.051516473,-1,0.0,noise
Motrin,motrin,treatment_pain_antiinflammatory,0.58886814,0.53752244,0.051345706,-1,0.0,noise
Nicardipine,nicardipine,treatment_pain_antiinflammatory,0.6062636,0.555126,0.051137567,-1,0.0,noise
Acetaminophen,acetaminophen,treatment_pain_antiinflammatory,0.6972146,0.64653647,0.050678134,-1,0.0,noise
Paracetamol 500,paracetamol 500,treatment_pain_antiinflammatory,0.6307123,0.5800454,0.05066687,-1,0.0,noise
OxyNorm Capsules,oxynorm capsules,treatment_pain_antiinflammatory,0.4741005,0.42390263,0.05019787,-1,0.0,noise
Chiropractic adjustment,chiropractic adjustment,treatment_physical_rehab,0.5350375,0.2607126,0.27432492,-1,0.0,noise
Rowing machine,rowing machine,treatment_physical_rehab,0.62645215,0.3714172,0.25503495,-1,0.0,noise
physio exercises ,physio exercises,treatment_physical_rehab,0.59278834,0.34588984,0.2468985,-1,0.0,noise
walking adjusted,walking adjusted,treatment_physical_rehab,0.49335027,0.25270152,0.24064875,-1,0.0,noise
Physical therapy exercises,physical therapy exercises,treatment_physical_rehab,0.6597156,0.42165548,0.23806012,-1,0.0,noise
rubberband exercises,rubberband exercises,treatment_physical_rehab,0.52581763,0.29296535,0.23285228,-1,0.0,noise
Kinesiology,kinesiology,treatment_physical_rehab,0.5957571,0.36348408,0.23227304,-1,0.0,noise
Physio stretching,physio stretching,treatment_physical_rehab,0.58454585,0.35953695,0.2250089,-1,0.0,noise
Home physio exercises,home physio exercises,treatment_physical_rehab,0.56810826,0.3433785,0.22472975,-1,0.0,noise
PT Exercises,pt exercises,treatment_physical_rehab,0.5753889,0.35298634,0.22240257,-1,0.0,noise
foot brace,foot brace,treatment_physical_rehab,0.5284692,0.30850357,0.21996564,-1,0.0,noise
Abdominal compression,abdominal compression,treatment_physical_rehab,0.49747157,0.28016114,0.21731043,-1,0.0,noise
back exercises,back exercises,treatment_physical_rehab,0.6355625,0.4188606,0.21670187,-1,0.0,noise
Rowing,rowing,treatment_physical_rehab,0.62135965,0.40612334,0.2152363,-1,0.0,noise
Chiropractic,chiropractic,treatment_physical_rehab,0.7036837,0.49268645,0.21099722,-1,0.0,noise
pilates,pilates,treatment_physical_rehab,0.6768555,0.4672072,0.20964831,-1,0.0,noise
Hip exercises,hip exercises,treatment_physical_rehab,0.60083485,0.39261788,0.20821697,-1,0.0,noise
back or hip braces,back or hip braces,treatment_physical_rehab,0.51378727,0.3085649,0.20522237,-1,0.0,noise
kinesiology tape,kinesiology tape,treatment_physical_rehab,0.4687311,0.26471356,0.20401755,-1,0.0,noise
hip abduction,hip abduction,treatment_physical_rehab,0.4723633,0.2702194,0.20214391,-1,0.0,noise
Orthotics,orthotics,treatment_physical_rehab,0.6079664,0.40588528,0.20208114,-1,0.0,noise
Exercise--walking,exercise--walking,treatment_physical_rehab,0.54862654,0.34761894,0.2010076,-1,0.0,noise
Roll out legs/hips,roll out legs/hips,treatment_physical_rehab,0.5922402,0.39251158,0.19972864,-1,0.0,noise
Treadmill,treadmill,treatment_physical_rehab,0.6170254,0.41798532,0.19904006,-1,0.0,noise
Pilates: reformer,pilates: reformer,treatment_physical_rehab,0.5313376,0.33472365,0.19661397,-1,0.0,noise
Ankle brace,ankle brace,treatment_physical_rehab,0.5513451,0.35548997,0.19585514,-1,0.0,noise
weight lifting - back exercises,weight lifting - back exercises,treatment_physical_rehab,0.49468148,0.2993109,0.19537058,-1,0.0,noise
Chiropractor,chiropractor,treatment_physical_rehab,0.66624343,0.4737063,0.19253713,-1,0.0,noise
exercise bike,exercise bike,treatment_physical_rehab,0.45166826,0.2619053,0.18976295,-1,0.0,noise
pilates stretch,pilates stretch,treatment_physical_rehab,0.53075063,0.34179372,0.18895692,-1,0.0,noise
weight lifting,weight lifting,treatment_physical_rehab,0.53698635,0.35193944,0.18504691,-1,0.0,noise
exercise—weights,exercise—weights,treatment_physical_rehab,0.48003173,0.29523152,0.18480021,-1,0.0,noise
Calf stretches,calf stretches,treatment_physical_rehab,0.5313219,0.34805548,0.1832664,-1,0.0,noise
exercise reps,exercise reps,treatment_physical_rehab,0.5354322,0.35350454,0.18192768,-1,0.0,noise
physical therapy,physical therapy,treatment_physical_rehab,0.6740793,0.49352652,0.18055278,-1,0.0,noise
CrossFit,crossfit,treatment_physical_rehab,0.5046273,0.32638475,0.17824253,-1,0.0,noise
Physiotherapy,physiotherapy,treatment_physical_rehab,0.66720855,0.4908201,0.17638844,-1,0.0,noise
Knee to shoulder stretch,knee to shoulder stretch,treatment_physical_rehab,0.5749793,0.4015193,0.17346,-1,0.0,noise
spine stimulator,spine stimulator,treatment_physical_rehab,0.47620738,0.30399954,0.17220783,-1,0.0,noise
Cardio Exercise,cardio exercise,treatment_physical_rehab,0.56171453,0.3896283,0.17208624,-1,0.0,noise
Knee braces,knee braces,treatment_physical_rehab,0.5538883,0.3818361,0.17205223,-1,0.0,noise
Pelvic floor therapy,pelvic floor therapy,treatment_physical_rehab,0.49206775,0.3204965,0.17157125,-1,0.0,noise
Wrist Braces,wrist braces,treatment_physical_rehab,0.46443057,0.2929011,0.17152947,-1,0.0,noise
hand splint,hand splint,treatment_physical_rehab,0.5117069,0.34092474,0.17078215,-1,0.0,noise
neck traction,neck traction,treatment_physical_rehab,0.529211,0.3590567,0.17015427,-1,0.0,noise
exercise cardio,exercise cardio,treatment_physical_rehab,0.57545817,0.40720177,0.1682564,-1,0.0,noise
Wrist brace,wrist brace,treatment_physical_rehab,0.46080083,0.29315495,0.16764587,-1,0.0,noise
Walk Aerobics,walk aerobics,treatment_physical_rehab,0.47081262,0.30377924,0.16703337,-1,0.0,noise
muscle roller,muscle roller,treatment_physical_rehab,0.697819,0.5308461,0.16697288,-1,0.0,noise
weightlifting,weightlifting,treatment_physical_rehab,0.5925596,0.42643422,0.16612536,-1,0.0,noise
Compression Stockings,compression stockings,treatment_physical_rehab,0.4959867,0.3308221,0.16516459,-1,0.0,noise
Spinal Decompression,spinal decompression,treatment_physical_rehab,0.4669658,0.30281907,0.16414672,-1,0.0,noise
Stretches/core strengtheing ,stretches/core strengtheing,treatment_physical_rehab,0.5391071,0.37505203,0.16405505,-1,0.0,noise
Splints,splints,treatment_physical_rehab,0.5847342,0.421463,0.16327119,-1,0.0,noise
shoulder training,shoulder training,treatment_physical_rehab,0.58154166,0.41890448,0.16263717,-1,0.0,noise
Back brace,back brace,treatment_physical_rehab,0.55967593,0.39768016,0.16199577,-1,0.0,noise
Knee brace,knee brace,treatment_physical_rehab,0.54821616,0.3866225,0.16159368,-1,0.0,noise
Exercise - resistance,exercise - resistance,treatment_physical_rehab,0.4997875,0.3382124,0.16157511,-1,0.0,noise
Crutches,crutches,treatment_physical_rehab,0.5367683,0.37528455,0.16148376,-1,0.0,noise
exercise - cardio,exercise - cardio,treatment_physical_rehab,0.57273185,0.41137788,0.16135398,-1,0.0,noise
Ligament Restore,ligament restore,treatment_physical_rehab,0.5004806,0.3395915,0.16088909,-1,0.0,noise
exercise—climbing,exercise—climbing,treatment_physical_rehab,0.48282307,0.3231264,0.15969667,-1,0.0,noise
Shoulder exercise,shoulder exercise,treatment_physical_rehab,0.54837024,0.3921659,0.15620434,-1,0.0,noise
Exercise- Strength training,exercise- strength training,treatment_physical_rehab,0.50742257,0.35191244,0.15551013,-1,0.0,noise
exercise - dancing,exercise - dancing,treatment_physical_rehab,0.5626439,0.40867054,0.15397334,-1,0.0,noise
exercise—running,exercise—running,treatment_physical_rehab,0.5430832,0.39008635,0.15299684,-1,0.0,noise
Elbow Braces,elbow braces,treatment_physical_rehab,0.46075433,0.30860665,0.15214768,-1,0.0,noise
TENS Machine,tens machine,treatment_physical_rehab,0.51960033,0.36826485,0.15133548,-1,0.0,noise
Walking,walking,treatment_physical_rehab,0.5279017,0.37778068,0.15012103,-1,0.0,noise
